title,world_revenue,distributor
Hold Your Breath,"$2,842,040 ",Entertainment One
The Riot Act,"$75,506 ",Hannover House
Shock and Awe,"$182,415 ",Vertical Entertainment
Becoming Astrid,"$938,766 ",Music Box Films
Helicopter Eela,"$256,952 ",Eros International
"Nico, 1988","$83,558 ",Magnolia Pictures
The Boxcar Children - Surprise Island,"$78,676 ",Fathom Events
Have a Nice Day,"$504,003 ",Strand Releasing
After Auschwitz,"$73,885 ",Passion River
En el séptimo día,"$79,887 ",The Cinema Guild
Keys To The Heart,"$25,375,866 ",CJ Entertainment
93Queen,"$76,056 ",Abramorama
Henchmen,"$1,469 ",Entertainment One
The Brawler,"$138,515 ",Eros International
1945,"$1,240,663 ",Menemsha Films
Hold Your Breath,"$2,842,040 ",Entertainment One
Swimming with Men,"$1,377,748 ",IFC Films
The Princess and the Matchmaker,"$9,899,017 ",CJ Entertainment
Sgt. Stubby: An American Hero,"$4,932,694 ",Fun Academy Motion Pictures
Senso,"$27,723 ",Rialto Pictures
Chinese Portrait,"$3,608 ",The Cinema Guild
Serendipity,"$2,298 ",Cohen Media Group
In Safe Hands,"$7,086,596 ",Distrib Films
Owaranai hito: Miyazaki Hayao,"$187,320 ",GKIDS
Tall Tales from the Magical Garden of Antoon Krings,"$12,353,849 ",Viva Pictures Distribution
Indivisible,"$3,589,633 ",Pure Flix Entertainment
For Those Who Don't Read Me,"$36,506 ",Entertainment One
The Untold Story,$790 ,Ammo Content
Godard Mon Amour,"$1,329,016 ",Cohen Media Group
Doctor Who: The Woman Who Fell to Earth,"$82,698 ",Fathom Events
The Hours and Times,"$1,273 ",Oscilloscope
Yuri!!! On Ice,"$90,751 ",Fathom Events
A Fish in the Bathtub,"$1,237 ",Cohen Media Group
National Theatre Live: Antony & Cleopatra,"$998,079 ",Fathom Events
Blood Fest,"$122,833 ",Fathom Events
Game Day,"$1,624 ",Ammo Content
American Playhouse: The Killing Floor,"$1,583 ",Film Movement
How To Talk To Girls at Parties,"$385,733 ",A24
Nancy,"$92,000 ",The Samuel Goldwyn Company
Claire's Camera,"$191,980 ",The Cinema Guild
Little Q,"$16,360,233 ",Well Go USA Entertainment
Bolshoi Ballet: Swan Lake,"$88,905 ",Fathom Events
Goldstone,"$87,639 ",Lightyear Entertainment
Stan & Ollie,"$24,420,923 ",Sony Pictures Classics
Custody,"$3,790,303 ",Kino Lorber
Tea With the Dames,"$3,181,152 ",IFC Films
Joan the Maid 1: The Battles,"$2,562 ",Cohen Media Group
Big Brother,"$22,029,250 ",Well Go USA Entertainment
"No Date, No Signature","$107,368 ",Distrib Films
L'héritage de la chouette,"$12,316 ",Icarus Films
The Price of Everything,"$144,446 ",Home Box Office (HBO)
Lobster Cop,"$10,373,129 ",China Lion Film Distribution
TINY: The Life of Erin Blackwell,"$2,465 ",Janus Films
Cat on a Hot Tin Roof,"$89,332 ",Fathom Events
I Lost Albert,"$2,354 ",Distrib Films
BANDSTAND: The Broadway Musical on Screen,"$91,000 ",Fathom Events
Iceman,"$6,719 ",Film Movement
Running for Grace,"$89,988 ",Blue Fox Entertainment
Back to the Fatherland,"$2,697 ",First Run
The Breadwinner,"$363,307 ",GKIDS
Reign of Judges: Title of Liberty - Concept Short,"$98,408 ","Darin Southam Endeavor, Inc."
Godspeed: The Race Across America,"$96,690 ",Fathom Events
Champion,"$8,974,547 ",Well Go USA Entertainment
Airpocalypse,"$18,491,089 ",China Lion Film Distribution
National Theatre Live: Macbeth,"$97,857 ",Fathom Events
The Kindness of Strangers,"$65,493 ",eOne Entertainment
The Third Murder,"$13,411,936 ",Film Movement
El Angel,"$5,604,680 ",The Orchard
Filmworker,"$112,828 ",Kino Lorber
Golden Slumber,"$10,733,326 ",CJ Entertainment
Let the Corpses Tan,"$93,409 ",Kino Lorber
Big Sonia,"$212,471 ",Argot Pictures
Wonder Wheel,"$15,889,124 ",Amazon Studios
John McEnroe: In the Realm of Perfection,"$114,289 ",Oscilloscope
The Wandering Soap Opera,"$3,624 ",The Cinema Guild
Bauhaus Spirit: 100 Years of Bauhaus,"$27,768 ",Icarus Films
100 Acres of Hell,"$5,152 ",Indican Pictures
Mother of a Day,"$3,919 ",Sumbadhat Productions
State Like Sleep,"$4,282 ",The Orchard
Chasing Portraits,"$3,076 ",First Run
The Gliksmans,"$5,166 ",Indican Pictures
Meow Wolf: Origin Story,"$99,488 ",Fathom Events
Filmworker,"$112,828 ",Kino Lorber
A Cool Fish,"$118,153,135 ",China Lion Film Distribution
Another Day of Life,"$134,801 ",GKIDS
Crown Vic,"$3,868 ",Screen Media Films
