title,world_revenue,distributor
The Fighting Preacher,"$954,641 ",Purdie Distribution
Woman at War,"$4,471,158 ",Magnolia Pictures
Kiki's Delivery Service,"$1,004,057 ",Fathom Events
BlacKkKlansman,"$93,400,823 ",Focus Features
Perfect Strangers,"$33,262,366 ",Pantelion Films
Letters From Baghdad,"$502,941 ",Vitagraph Films
OK Jaanu,"$5,445,281 ",FIP
Marianne & Leonard: Words of Love,"$3,252,711 ",Roadside Attractions
Disney Junior HalloVeen Party!,"$359,745 ",Fathom Events
Rush: Cinema Strangiato 2019,"$960,073 ",Trafalgar Releasing
Toni Morrison: The Pieces I Am,"$903,018 ",Magnolia Pictures
Between Me and My Mind,"$875,191 ",Trafalgar Releasing
Black Panther,"$1,346,913,161 ",Walt Disney Studios Motion Pictures
Kung Fu Yoga,"$257,743,016 ",Well Go USA Entertainment
BOSTON: An American Running Story,"$364,369 ",Fathom Events
I'll Push You: A Real-Life Inspiration,"$378,899 ",Fathom Events
Samurai Cop,"$384,756 ",Fathom Events
The Accountant,"$155,160,045 ",Warner Bros.
Princess Mononoke,"$1,046,446 ",Fathom Events
Noah: The Musical,"$1,035,603 ",Fathom Events
"Love, Kennedy","$407,871 ",Purdie Distribution
Luka Chuppi,"$1,923,586 ",Viva Pictures Distribution
Bennett's War,"$1,056,416 ",Forrest Films
The Souvenir,"$1,719,157 ",A24
Mortal Engines,"$83,672,673 ",Universal Pictures
Island of Lemurs: Madagascar,"$14,066,067 ",Warner Bros.
Rebel in the Rye,"$944,370 ",IFC Films
Playmobil: The Movie,"$16,185,070 ",STX Entertainment
My Neighbor Totoro,"$1,105,564 ",Fathom Events
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$5,017,137 ",Fathom Events
Western Stars,"$3,681,681 ",Warner Bros.
Chasing Trane: The John Coltrane Documentary,"$406,284 ",Abramorama
A Gentleman,"$3,438,746 ",FIP
El Coyote,"$1,101,470 ",Cactus Blue Entertainment
One Piece Film: Gold,"$66,207,073 ",FUNimation Entertainment
Land of Mine,"$3,169,553 ",Sony Pictures Classics
No Safe Spaces,"$1,291,514 ",Atlas Distribution Company
Phillauri,"$5,805,030 ",FIP
DCI 2017 Tour Premeire,"$467,817 ",Fathom Events
Duckweed,"$152,894,264 ",China Lion Film Distribution
Journey to the South Pacific,"$14,977,023 ",IMAX
Beach Rats,"$486,623 ",Neon
Nothing to Lose 2,"$16,610,713 ",Swen Releasing
Ek Ladki Ko Dekha Toh Aisa Laga,"$3,531,837 ",FIP
Sailor Moon R: The Movie: The Promise of the Rose,"$452,053 ",Eleven Arts
Song to Song,"$1,813,168 ",Broad Green Pictures
Los Domirriqueños 2,"$1,187,280 ",Spanglish Movies
Kingdom Men Rising,"$1,188,936 ",Fathom Events
High Life,"$2,133,033 ",A24
BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,"$1,226,552 ",Fathom Events
Spirited Away,"$1,322,927 ",Fathom Events
Chasing the Dragon,"$87,965,942 ",Well Go USA Entertainment
Asterix: The Secret of the Magic Potion,"$46,212,291 ",Entertainment One
Can You Ever Forgive Me?,"$12,442,161 ",Fox Searchlight Pictures
Pilgrim's Progress,"$3,173,282 ",Fathom Events
Metallica & San Francisco Symphony - S&M2,"$2,705,442 ",Trafalgar Releasing
All Is True,"$3,019,143 ",Sony Pictures Classics
Once Upon A Time,"$82,886,178 ",Well Go USA Entertainment
Fairy Tail: Dragon Cry,"$1,420,035 ",FUNimation Entertainment
Breathe,"$5,026,154 ",Bleecker Street Media
Raw,"$3,096,815 ",Focus World
Confidential Assignment,"$55,972,241 ",CJ Entertainment
Dolores,"$555,309 ",PBS Distribution
Phantom Thread,"$47,756,590 ",Focus Features
Our President,"$13,392,049 ",CJ Entertainment
Kinky Boots: The Musical,"$900,451 ",Fathom Events
El Chicano,"$1,404,646 ",Briarcliff Entertainment
The Kid,"$1,553,483 ",Lionsgate
Destroyer,"$5,580,940 ",Annapurna Pictures
Born to Be Wild,"$41,615,256 ",Warner Bros.
Brigsby Bear,"$681,632 ",Sony Pictures Classics
Fantastic Fungi,"$1,840,028 ",Area 23a
Human Flow,"$1,824,537 ",Magnolia Pictures
Qué León,"$7,807,916 ",Spanglish Movies
Waves,"$1,958,790 ",A24
Extreme Job,"$121,978,657 ",CJ Entertainment
Made for More,"$2,999,134 ",Fathom Events
Samaritan's Purse presents Facing Darkness,"$555,533 ",Fathom Events
Under the Sea 3D,"$55,886,237 ",Warner Bros.
Nocturnal Animals,"$30,311,857 ",Focus Features
Allied,"$119,520,023 ",Paramount Pictures
Bitter Harvest,"$904,399 ",Roadside Attractions
Red Joan,"$10,647,493 ",IFC Films
Tommy's Honour,"$751,345 ",Roadside Attractions
Faces Places,"$3,998,450 ",Cohen Media Group
The Aftermath,"$9,215,591 ",Fox Searchlight Pictures
Novitiate,"$580,346 ",Sony Pictures Classics
Wild Rose,"$7,123,449 ",Neon
After the Wedding,"$2,691,537 ",Sony Pictures Classics
The Other Side of Heaven 2: Fire of Faith,"$1,807,216 ",ArtAffects Entertainment
Pandas,"$7,635,778 ",Warner Bros.
Ben Is Back,"$10,134,204 ",Roadside Attractions
Badla,"$3,590,894 ",Reliance Big Pictures
Master,"$51,636,415 ",CJ Entertainment
The Midwife,"$7,286,136 ",Music Box Films
Official Secrets,"$9,581,462 ",IFC Films
Chhichhore,"$3,307,350 ",FIP
Luce,"$2,268,204 ",Neon
The Wizard of Oz,"$2,076,020 ",Fathom Events
Battle of Memories,"$43,892,362 ",China Lion Film Distribution
Better Days,"$225,320,294 ",Well Go USA Entertainment
Ip Man 4: The Finale,"$174,963,653 ",Well Go USA Entertainment
The White Crow,"$7,622,595 ",Sony Pictures Classics
Housefull 4,"$4,624,936 ",FIP
The Only Living Boy in New York,"$2,550,321 ",Roadside Attractions
Jonah: The Musical,"$631,154 ",Fathom Events
Wilson,"$848,646 ",Fox Searchlight Pictures
Along With the Gods: The Two Worlds,"$109,383,972 ",Well Go USA Entertainment
Titanic,"$691,642 ",Paramount Pictures
Chris Brown: Welcome To My Life,"$693,984 ",Fathom Events
Total Dhamaal,"$26,911,995 ",FIP
Shubh Mangal Savdhan,"$1,188,541 ",Eros International
Lost in Paris,"$2,082,381 ",Oscilloscope
Walk With Me,"$1,606,705 ",GathrFilms
3 from Hell,"$2,295,825 ",Saban Films
Welcome to Marwen,"$13,061,491 ",Universal Pictures
Gone with the Wind,"$2,176,120 ",Fathom Events
Faustina: Love and Mercy,"$3,498,887 ",Fathom Events
Super 30,"$24,701,637 ",Reliance Big Pictures
Promare,"$9,531,356 ",GKIDS
"My People, My Country","$450,064,993 ",CMC Pictures
Arctic,"$4,124,015 ",Bleecker Street Media
The Devotion of Suspect X,"$59,035,664 ",China Lion Film Distribution
Countdown to Canelo vs. Golovkin,"$703,396 ",Fathom Events
Revive Us 2,"$718,607 ",Fathom Events
Mubarakan,"$12,899,968 ",Sony Pictures Releasing
George Takei's Allegiance,"$784,850 ",Fathom Events
The Exception,"$834,572 ",A24
Patti Cake$,"$1,482,356 ",Fox Searchlight Pictures
The Polar Express,"$875,150 ",Warner Bros.
Jagga Jasoos,"$1,154,862 ",UTV Motion Pictures
Journey to the West: The Demons Strike Back,"$247,585,244 ",Sony Pictures Releasing
The Red Turtle,"$6,591,789 ",Sony Pictures Classics
Instant Family,"$120,556,201 ",Paramount Pictures
Neruda,"$3,884,746 ",The Orchard
Tod@s Caen,"$9,667,157 ",Pantelion Films
May it Last: A Portrait of the Avett Brothers,"$725,286 ",Oscilloscope
Kalank,"$17,987,034 ",FIP
Friends 25th: The One With The Anniversary,"$3,403,406 ",Fathom Events
Mark Felt: The Man Who Brought Down The White House,"$4,372,130 ",Sony Pictures Classics
Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901 ",Warner Bros.
Saaho,"$5,708,522 ",Yash Raj Films
Frantz,"$7,478,354 ",Music Box Films
Honey Boy,"$3,193,504 ",Amazon Studios
Bharat,"$33,185,983 ",Viva Pictures Distribution
Simmba,"$9,865,268 ",Reliance Big Pictures
Jay and Silent Bob Reboot,"$3,514,118 ",Saban Films
Creed II,"$214,215,889 ",Metro-Goldwyn-Mayer (MGM)
BTS World Tour: Love Yourself in Seoul,"$10,109,421 ",Fathom Events
Everybody Knows,"$19,176,163 ",Focus Features
Tubelight,"$4,650,456 ",Yash Raj Films
Landline,"$940,854 ",Magnolia Pictures
Echo in the Canyon,"$3,355,324 ",Greenwich Entertainment
The Beach Bum,"$4,554,416 ",Neon
Last Flag Flying,"$1,872,950 ",Lionsgate
The Eagle Huntress,"$4,400,140 ",Sony Pictures Classics
Maiden,"$3,495,241 ",Sony Pictures Classics
Terminator 2: Judgment Day,"$3,931,111 ",Distrib Films
Golmaal Again,"$2,057,329 ",Reliance Films
Casablanca,"$1,024,560 ",Fathom Events
Wonderstruck,"$3,285,916 ",Roadside Attractions
Columbus,"$1,093,077 ",Independent
Viceroy's House,"$11,868,221 ",IFC Films
Step,"$1,152,839 ",Fox Searchlight Pictures
The Trip to Spain,"$1,988,841 ",IFC Films
Lucky,"$1,861,765 ",Magnolia Pictures
Lady Macbeth,"$5,401,447 ",Roadside Attractions
Spirited Away,"$1,196,791 ",Fathom Events
3 idiotas,"$7,738,470 ",Pantelion Films
The Square,"$9,493,791 ",Magnolia Pictures
Chonda Pierce: Enough,"$1,260,116 ",Fathom Events
Steve McQueen: American Icon,"$1,229,782 ",Fathom Events
Yu-Gi-Oh!: The Dark Side of Dimensions,"$7,445,186 ",Screenvision
True to the Game,"$1,231,040 ",Faith Media Distribution
The Battleship Island,"$46,183,383 ",CJ Entertainment
Ne Zha,"$726,063,471 ",Well Go USA Entertainment
Pain and Glory,"$37,260,610 ",Sony Pictures Classics
Mission Mangal,"$5,667,057 ",FIP
Replicas,"$9,330,075 ",Entertainment Studios Motion Pictures
Uri: The Surgical Strike,"$4,302,454 ",PackYourBag Films
Linda Ronstadt: The Sound of My Voice,"$4,252,248 ",Greenwich Entertainment
The Women's Balcony,"$1,272,517 ",Menemsha Films
The Biggest Little Farm,"$5,245,324 ",Neon
Brian Banks,"$4,376,819 ",Bleecker Street Media
Amazing Grace,"$7,771,312 ",Neon
Dr. Seuss' The Grinch,"$511,595,957 ",Universal Pictures
Menteur,"$4,697,364 ",Entertainment One
War,"$67,179,155 ",Yash Raj Films
Cold War,"$20,285,066 ",Amazon Studios
The Last Black Man in San Francisco,"$4,607,017 ",A24
Bring The Soul: The Movie,"$11,393,886 ",Trafalgar Releasing
Tolkien,"$9,090,040 ",Fox Searchlight Pictures
The Sun Is Also a Star,"$6,750,029 ",Warner Bros.
Pavarotti,"$7,885,016 ",CBS Films
The Mustang,"$6,405,816 ",Focus Features
The Oscar Nominated Short Films 2019: Documentary,"$3,538,550 ",Shorts International
Don't Let Go,"$5,288,011 ",OTL Releasing
The Goldfinch,"$10,537,581 ",Warner Bros.
The Sense of an Ending,"$5,081,495 ",CBS Films
Churchill,"$6,724,365 ",Cohen Media Group
My Friend Dahmer,"$1,436,751 ",FilmRise
Personal Shopper,"$2,840,408 ",IFC Films
Wonder Wheel,"$15,889,124 ",Amazon Studios
Julieta,"$22,468,044 ",Sony Pictures Classics
Toni Erdmann,"$11,784,207 ",Sony Pictures Classics
Jane,"$1,921,221 ",Abramorama
Mully,"$1,489,771 ",Fathom Events
Inhumans,"$2,852,282 ",IMAX
Twins 2,"$28,733,523 ",FIP
The Dinner,"$2,544,921 ",The Orchard
The Wedding Plan,"$1,542,345 ",Roadside Attractions
Genesis: Paradise Lost,"$1,575,000 ",Fathom Events
The Stray,"$1,579,440 ",Purdie Distribution
Professor Marston & the Wonder Women,"$1,899,615 ",Annapurna Pictures
Sword Art Online The Movie: Ordinal Scale,"$29,322,339 ",Eleven Arts
Youth,"$227,091,290 ",China Lion Film Distribution
A Ghost Story,"$1,951,683 ",A24
Elle,"$12,748,594 ",Sony Pictures Classics
The Comedian,"$1,659,002 ",Sony Pictures Classics
Jolly LLB 2,"$24,214,186 ",FIP
Arctic Dogs,"$9,679,760 ",Entertainment Studios Motion Pictures
Gully Boy,"$28,141,995 ",Viva Pictures Distribution
A Taxi Driver,"$86,252,940 ",Well Go USA Entertainment
Captive State,"$8,772,812 ",Focus Features
The Wandering Earth,"$699,760,773 ",CMC Pictures
Jexi,"$8,788,937 ",Lionsgate
Run the Race,"$6,424,420 ",Roadside Attractions
The Current War: Director's Cut,"$11,517,652 ",101 Studios
Mary Queen of Scots,"$46,710,283 ",Focus Features
Free Solo,"$29,318,861 ",National Geographic Entertainment
Gloria Bell,"$11,145,006 ",A24
Jab Harry Met Sejal,"$4,407,775 ",Yash Raj Films
Slamma Jamma,"$1,687,000 ",River Rain Productions
Brittany Runs a Marathon,"$7,442,106 ",Amazon Studios
Penguins,"$7,699,452 ",Walt Disney Studios Motion Pictures
The Dead Don't Die,"$14,502,830 ",Focus Features
Goodbye Christopher Robin,"$7,401,949 ",Fox Searchlight Pictures
The Post,"$179,769,457 ",Twentieth Century Fox
Menashe,"$1,962,265 ",A24
Toilet: A Love Story,"$17,567,417 ",Reliance Big Pictures
The Last Word,"$2,982,004 ",Bleecker Street Media
Badrinath Ki Dulhania,"$26,134,309 ",FIP
Everybody Loves Somebody,"$6,481,798 ",Pantelion Films
Free Fire,"$3,719,383 ",A24
The Wall,"$4,476,705 ",Roadside Attractions
The Little Hours,"$1,647,175 ",Gunpowder & Sky
Brad's Status,"$3,816,527 ",Annapurna Pictures
The Patriarch,"$6,156,936 ",Pantelion Films
Serenity,"$14,454,622 ",Aviron Pictures
"Where'd You Go, Bernadette","$10,411,096 ",United Artists Releasing
No Manches Frida 2,"$26,493,648 ",Pantelion Films
Good Time,"$3,283,369 ",A24
Paterson,"$9,588,282 ",Bleecker Street Media
Apollo 11,"$15,342,353 ",Neon
A Quiet Passion,"$4,159,246 ",Music Box Films
Black Christmas,"$18,529,730 ",Universal Pictures
The Best of Enemies,"$10,209,813 ",STX Entertainment
Greta,"$18,653,107 ",Focus Features
Motherless Brooklyn,"$18,377,736 ",Warner Bros.
Holmes & Watson,"$40,466,970 ",Sony Pictures Releasing
Dark Waters,"$12,965,055 ",Focus Features
Hotel Mumbai,"$21,314,816 ",Bleecker Street Media
The Lighthouse,"$16,767,104 ",A24
Blinded by the Light,"$18,019,198 ",Warner Bros.
The Lovers,"$2,216,083 ",A24
Collide,"$6,817,535 ",Open Road Films (II)
The Killing of a Sacred Deer,"$7,027,336 ",A24
The Resurrection of Gavin Stone,"$2,308,355 ",BH Tilt
Jeepers Creepers III,"$4,017,852 ",Screen Media Films
The Salesman,"$6,953,604 ",Cohen Media Group
Pokémon the Movie: I Choose You!,"$37,552,144 ",Fathom Events
"I, Tonya","$53,939,297 ",Neon
Tulip Fever,"$9,204,549 ",The Weinstein Company
LBJ,"$2,510,151 ",Electric Entertainment
Do It Like An Hombre,"$13,610,252 ",Pantelion Films
IN OUR HANDS: Battle for Jerusalem,"$2,534,370 ",Fathom Events
Disney's Newsies: The Broadway Musical!,"$2,545,060 ",Fathom Events
T2 Trainspotting,"$41,681,746 ",TriStar Pictures
A Question of Faith,"$2,587,072 ",Pure Flix Entertainment
Showtime Championship Boxing: Floyd Mayweather vs. Conor McGregor,"$3,184,384 ",Fathom Events
Is Genesis History?,"$2,570,392 ",Fathom Events
My Cousin Rachel,"$9,200,168 ",Fox Searchlight Pictures
Wolf Warrior 2,"$870,325,439 ",The H Collective
Hacksaw Ridge,"$180,450,918 ",Lionsgate
After,"$69,733,482 ",Aviron Pictures
The Kitchen,"$15,980,032 ",Warner Bros.
They Shall Not Grow Old,"$19,130,011 ",Warner Bros.
If Beale Street Could Talk,"$20,596,567 ",Annapurna Pictures
Poms,"$16,418,218 ",STX Entertainment
A Star Is Born,"$436,188,866 ",Warner Bros.
The Prodigy,"$21,150,265 ",Orion Pictures
Miss Bala,"$15,383,580 ",Sony Pictures Releasing
Late Night,"$22,386,555 ",Amazon Studios
Second Act,"$72,282,227 ",STX Entertainment
The Good Liar,"$33,456,058 ",Warner Bros.
Brightburn,"$32,893,421 ",Screen Gems
Charlie's Angels,"$70,960,003 ",Sony Pictures Releasing
Richard Jewell,"$35,645,542 ",Warner Bros.
Bombshell,"$48,244,080 ",Lionsgate
Missing Link,"$26,249,469 ",United Artists Releasing
The Kid Who Would Be King,"$32,140,970 ",Twentieth Century Fox
The Farewell,"$22,082,138 ",A24
Unplanned,"$21,051,915 ",Pure Flix Entertainment
Cats,"$71,954,915 ",Universal Pictures
UglyDolls,"$32,450,241 ",STX Entertainment
The Peanut Butter Falcon,"$22,355,100 ",Roadside Attractions
Doctor Strange,"$677,718,395 ",Walt Disney Studios Motion Pictures
The Favourite,"$95,918,706 ",Fox Searchlight Pictures
Leap!,"$84,197,417 ",Entertainment One
Ingrid Goes West,"$3,146,831 ",Neon
Colossal,"$4,531,320 ",Neon
Close Encounters of the Third Kind,"$3,100,479 ",Sony Pictures Releasing
Raees,"$8,428,190 ",Zee TV
Til Death Do Us Part,"$3,455,267 ",Novus
An Inconvenient Sequel: Truth to Power,"$5,433,926 ",Paramount Pictures
The Oscar Nominated Short Films 2017: Live Action,"$2,877,797 ",Shorts International
Trolls,"$346,864,462 ",Twentieth Century Fox
Kedi,"$5,037,923 ",Oscilloscope
Phoenix Forgotten,"$3,600,146 ",Cinelou Films
Their Finest,"$12,597,262 ",STX Entertainment
Table 19,"$5,042,014 ",Fox Searchlight Pictures
A Monster Calls,"$47,309,313 ",Focus Features
Friend Request,"$10,975,390 ",Entertainment Studios Motion Pictures
Norman,"$6,217,567 ",Sony Pictures Classics
A United Kingdom,"$14,459,330 ",Fox Searchlight Pictures
Sleight,"$3,989,705 ",BH Tilt
Dangal,"$303,723,636 ",UTV Motion Pictures
The Hero,"$4,101,699 ",The Orchard
Stronger,"$8,503,658 ",Roadside Attractions
The Book of Henry,"$4,596,705 ",Focus Features
Jojo Rabbit,"$74,650,558 ",Fox Searchlight Pictures
Shaft,"$21,360,215 ",Warner Bros.
Hellboy,"$44,664,690 ",Lionsgate
Black and Blue,"$22,741,061 ",Screen Gems
47 Meters Down: Uncaged,"$46,783,103 ",Entertainment Studios Motion Pictures
Stuber,"$32,390,945 ",Twentieth Century Fox
Parasite,"$165,922,541 ",Neon
Booksmart,"$24,863,452 ",United Artists Releasing
A Dog's Journey,"$75,602,573 ",Universal Pictures
On the Basis of Sex,"$38,673,750 ",Focus Features
Fighting with My Family,"$40,795,185 ",Metro-Goldwyn-Mayer (MGM)
Judy,"$39,635,037 ",Roadside Attractions
Uncut Gems,"$49,315,235 ",A24
Countdown,"$46,121,766 ",STX Entertainment
The Art of Racing in the Rain,"$33,766,787 ",Twentieth Century Fox
Ralph Breaks the Internet,"$529,323,962 ",Walt Disney Studios Motion Pictures
Bohemian Rhapsody,"$903,655,259 ",Twentieth Century Fox
Midsommar,"$42,251,838 ",A24
21 Bridges,"$48,939,757 ",STX Entertainment
Tiger Zinda Hai,"$87,320,000 ",Yash Raj Films
Vice,"$76,073,488 ",Annapurna Pictures
Happy Death Day 2U,"$64,600,152 ",Universal Pictures
Ready or Not,"$57,615,777 ",Fox Searchlight Pictures
Call Me by Your Name,"$41,887,595 ",Sony Pictures Classics
A Beautiful Planet,"$25,681,505 ",IMAX
Office Christmas Party,"$114,501,299 ",Paramount Pictures
Your Name.,"$358,922,706 ",FUNimation Entertainment
The Florida Project,"$10,971,298 ",A24
Molly's Game,"$59,284,015 ",STX Entertainment
20th Century Women,"$7,214,806 ",A24
The Man Who Invented Christmas,"$8,096,007 ",Bleecker Street Media
Paris Can Wait,"$13,203,541 ",Sony Pictures Classics
Suburbicon,"$12,751,667 ",Paramount Pictures
Just Getting Started,"$7,634,022 ",Broad Green Pictures
Loving Vincent,"$42,187,665 ",Good Deed Entertainment
Lowriders,"$6,312,033 ",BH Tilt
Collateral Beauty,"$88,528,280 ",Warner Bros.
All Saints,"$5,942,565 ",Affirm Films
Same Kind of Different as Me,"$6,423,605 ",Pure Flix Entertainment
The Snowman,"$43,155,261 ",Universal Pictures
Child's Play,"$44,902,237 ",United Artists Releasing
Spies in Disguise,"$163,404,089 ",Twentieth Century Fox
Long Shot,"$53,856,078 ",Lionsgate
Dragon Ball Super: Broly,"$115,560,610 ",FUNimation Entertainment
Overcomer,"$38,026,103 ",Affirm Films
Doctor Sleep,"$72,281,712 ",Warner Bros.
Cold Pursuit,"$76,419,755 ",Lionsgate
Maudie,"$9,733,932 ",Sony Pictures Classics
The Hustle,"$95,017,038 ",United Artists Releasing
The Intruder,"$36,599,361 ",Screen Gems
Little Women,"$178,027,844 ",Sony Pictures Releasing
Crawl,"$91,542,097 ",Paramount Pictures
The Mule,"$174,804,407 ",Warner Bros.
Breakthrough,"$50,444,358 ",Twentieth Century Fox
Last Christmas,"$121,550,750 ",Universal Pictures
Queen & Slim,"$45,342,367 ",Universal Pictures
Birth of the Dragon,"$7,215,027 ",BH Tilt
Little,"$48,987,096 ",Universal Pictures
The Angry Birds Movie 2,"$154,656,687 ",Sony Pictures Releasing
A Dog's Way Home,"$80,708,134 ",Sony Pictures Releasing
Harriet,"$43,282,155 ",Focus Features
Silence,"$23,834,809 ",Paramount Pictures
Beatriz at Dinner,"$7,425,391 ",Roadside Attractions
I Am Not Your Negro,"$8,345,298 ",Magnolia Pictures
Let There Be Light,"$7,233,471 ",Atlas Distribution Company
Gold,"$14,880,939 ",The Weinstein Company
Jackie,"$24,270,399 ",Fox Searchlight Pictures
The Space Between Us,"$16,080,475 ",STX Entertainment
A Cure for Wellness,"$26,620,002 ",Twentieth Century Fox
The Promise,"$12,448,676 ",Open Road Films (II)
The Lost City of Z,"$19,263,938 ",Bleecker Street Media
Rock Dog,"$23,157,646 ",Lionsgate
Marshall,"$10,116,816 ",Open Road Films (II)
Thank You for Your Service,"$9,995,692 ",Universal Pictures
The Belko Experiment,"$11,084,630 ",BH Tilt
Live by Night,"$22,678,555 ",Warner Bros.
The Beguiled,"$27,869,129 ",Focus Features
Fantastic Beasts and Where to Find Them,"$814,037,575 ",Warner Bros.
Arrival,"$203,388,186 ",Paramount Pictures
Unforgettable,"$17,768,012 ",Warner Bros.
Before I Fall,"$16,373,843 ",Open Road Films (II)
Battle of the Sexes,"$18,598,607 ",Fox Searchlight Pictures
All the Money in the World,"$56,996,304 ",TriStar Pictures
The Founder,"$24,121,245 ",The Weinstein Company
Playing with Fire,"$64,391,669 ",Paramount Pictures
"Roman J. Israel, Esq.","$13,025,860 ",Sony Pictures Releasing
Rambo: Last Blood,"$91,490,353 ",Lionsgate
Wonder Park,"$119,559,110 ",Paramount Pictures
Ad Astra,"$132,807,427 ",Twentieth Century Fox
Five Feet Apart,"$91,522,094 ",Lionsgate
Ma,"$61,105,672 ",Universal Pictures
Gemini Man,"$173,469,516 ",Paramount Pictures
Isn't It Romantic,"$48,791,187 ",Warner Bros.
Green Book,"$329,704,599 ",Universal Pictures
What Men Want,"$72,216,294 ",Paramount Pictures
Pet Sematary,"$113,118,226 ",Paramount Pictures
The Curse of la Llorona,"$123,133,739 ",Warner Bros.
Dora and the Lost City of Gold,"$120,729,461 ",Paramount Pictures
Bumblebee,"$467,989,645 ",Paramount Pictures
Midway,"$124,899,204 ",Lionsgate
A Beautiful Day in the Neighborhood,"$65,797,820 ",Sony Pictures Releasing
Escape Room,"$155,712,077 ",Sony Pictures Releasing
Abominable,"$189,772,088 ",Universal Pictures
Terminator: Dark Fate,"$261,119,292 ",Paramount Pictures
X-Men: Dark Phoenix,"$252,442,974 ",Twentieth Century Fox
Mary Poppins Returns,"$349,537,494 ",Walt Disney Studios Motion Pictures
Scary Stories to Tell in the Dark,"$105,647,580 ",Lionsgate
Angel Has Fallen,"$147,501,990 ",Lionsgate
Father Figures,"$25,601,244 ",Warner Bros.
Megan Leavey,"$14,510,490 ",Bleecker Street Media
Wish Upon,"$23,468,586 ",Broad Green Pictures
Detroit,"$23,355,100 ",Annapurna Pictures
Flatliners,"$45,158,254 ",Sony Pictures Releasing
Born in China,"$25,081,168 ",Walt Disney Studios Motion Pictures
It Comes At Night,"$19,735,344 ",A24
The Case for Christ,"$18,175,663 ",Pure Flix Entertainment
Moonlight,"$65,336,603 ",A24
The Shape of Water,"$195,333,312 ",Fox Searchlight Pictures
Downsizing,"$55,003,890 ",Paramount Pictures
Mother!,"$44,516,999 ",Paramount Pictures
The Disaster Artist,"$29,820,616 ",A24
Darkest Hour,"$150,847,207 ",Focus Features
Only the Brave,"$26,351,322 ",Sony Pictures Releasing
Assassin's Creed,"$240,697,856 ",Twentieth Century Fox
The Glass Castle,"$22,088,533 ",Lionsgate
The Zookeeper's Wife,"$26,152,835 ",Focus Features
Baahubali 2: The Conclusion,"$254,158,390 ",Great India Films
The Circle,"$40,656,399 ",STX Entertainment
CHIPS,"$26,800,152 ",Warner Bros.
Diary of a Wimpy Kid: The Long Haul,"$40,140,972 ",Twentieth Century Fox
Sleepless,"$32,917,353 ",Open Road Films (II)
Leap!,"$21,929,861 ",The Weinstein Company
Zombieland: Double Tap,"$122,806,419 ",Sony Pictures Releasing
Yesterday,"$153,707,793 ",Universal Pictures
Annabelle Comes Home,"$231,252,591 ",Warner Bros.
Manchester by the Sea,"$78,988,148 ",Roadside Attractions
Men in Black: International,"$253,890,701 ",Sony Pictures Releasing
Spider-Man: Into the Spider-Verse,"$375,540,831 ",Sony Pictures Releasing
Good Boys,"$110,940,306 ",Universal Pictures
Alita: Battle Angel,"$404,852,543 ",Twentieth Century Fox
Rocketman,"$195,179,299 ",Paramount Pictures
Downton Abbey,"$191,560,555 ",Focus Features
The Addams Family,"$200,185,807 ",United Artists Releasing
Hustlers,"$157,563,598 ",STX Entertainment
The Lego Movie 2: The Second Part,"$192,306,508 ",Warner Bros.
Ford v Ferrari,"$223,667,753 ",Twentieth Century Fox
The Upside,"$125,852,517 ",STX Entertainment
A Madea Family Funeral,"$74,747,725 ",Lionsgate
Godzilla: King of the Monsters,"$386,600,138 ",Warner Bros.
Glass,"$246,999,039 ",Universal Pictures
Maleficent: Mistress of Evil,"$491,723,765 ",Walt Disney Studios Motion Pictures
Dumbo,"$353,284,621 ",Walt Disney Studios Motion Pictures
Knives Out,"$299,763,469 ",Lionsgate
My Little Pony: The Movie,"$60,330,833 ",Lionsgate
Rough Night,"$47,347,283 ",Sony Pictures Releasing
Victoria & Abdul,"$66,558,465 ",Focus Features
The Bye Bye Man,"$29,874,280 ",STX Entertainment
"Three Billboards Outside Ebbing, Missouri","$160,192,031 ",Fox Searchlight Pictures
Gifted,"$43,046,590 ",Fox Searchlight Pictures
The House,"$34,184,504 ",Warner Bros.
Resident Evil: The Final Chapter,"$312,242,626 ",Screen Gems
Home Again,"$37,270,721 ",Open Road Films (II)
Logan Lucky,"$48,453,605 ",Bleecker Street Media
Rings,"$83,080,890 ",Paramount Pictures
The Nut Job 2: Nutty by Nature,"$68,743,485 ",Open Road Films (II)
Why Him?,"$118,102,725 ",Twentieth Century Fox
Life,"$100,541,806 ",Sony Pictures Releasing
The Mountain Between Us,"$62,832,209 ",Twentieth Century Fox
Underworld: Blood Wars,"$81,093,313 ",Screen Gems
Kidnap,"$34,814,102 ",Aviron Pictures
Patriots Day,"$52,185,751 ",Lionsgate
How to Be a Latin Lover,"$62,547,032 ",Pantelion Films
Fist Fight,"$41,087,017 ",Warner Bros.
Monster Trucks,"$64,493,915 ",Paramount Pictures
Geostorm,"$221,600,160 ",Warner Bros.
Aquaman,"$1,148,461,807 ",Warner Bros.
Shazam!,"$365,971,656 ",Warner Bros.
Fences,"$64,414,761 ",Paramount Pictures
Lady Bird,"$78,965,611 ",A24
John Wick: Chapter 3 - Parabellum,"$326,709,727 ",Lionsgate
